epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.3367,0.85329,2.49818,2.94453,1.16383,0.68506,0.63333,0.75047,0.49168,0.65025,0.53333,0.61134,0.44209,1.67008,2.70779,1.46974,1.38935,0,0,0
2,11.6276,0.94907,3.02534,3.09753,1.22307,0.68756,0.63333,0.7467,0.49575,0.67727,0.61667,0.63303,0.44119,1.65761,2.69915,1.45922,1.38514,1.17822e-06,1.17822e-06,1.17822e-06
3,18.1826,0.98648,2.5748,2.68258,1.32322,0.70581,0.63333,0.74815,0.49796,0.69394,0.61667,0.62945,0.43778,1.65503,2.69939,1.45798,1.38535,2.33288e-06,2.33288e-06,2.33288e-06
4,23.707,0.93231,2.5352,2.76704,1.40253,0.70529,0.6269,0.74469,0.50279,0.68572,0.6,0.61614,0.43111,1.63902,2.70037,1.45514,1.38349,3.46397e-06,3.46397e-06,3.46397e-06
5,29.276,1.12492,2.98714,3.43753,1.41684,0.71807,0.63333,0.74466,0.50933,0.69241,0.6,0.62618,0.43256,1.61948,2.69318,1.4567,1.38001,4.5715e-06,4.5715e-06,4.5715e-06
6,35.0293,1.03462,3.04526,2.94189,1.26827,0.72556,0.63333,0.74365,0.50816,0.6986,0.6,0.62294,0.43185,1.60262,2.68834,1.45175,1.3752,5.65548e-06,5.65548e-06,5.65548e-06
7,40.7855,1.00009,2.54279,2.7684,1.24534,0.73043,0.63333,0.73781,0.48372,0.70284,0.6,0.6161,0.427,1.59198,2.69009,1.4628,1.37302,6.71588e-06,6.71588e-06,6.71588e-06
8,46.7143,0.75542,2.37444,2.265,1.09856,0.73609,0.63333,0.78031,0.52334,0.70731,0.6,0.65027,0.43325,1.58472,2.68714,1.46029,1.3727,7.75273e-06,7.75273e-06,7.75273e-06
9,51.7068,1.10785,3.31838,3.67348,1.44879,0.7432,0.62545,0.79419,0.52756,0.71935,0.6,0.64931,0.43356,1.59886,2.68564,1.45592,1.37583,8.76602e-06,8.76602e-06,8.76602e-06
10,57.2056,0.90679,2.80558,2.17837,1.1542,0.73979,0.60755,0.79307,0.52696,0.72211,0.59089,0.64978,0.43191,1.59321,2.68324,1.471,1.37585,9.75574e-06,9.75574e-06,9.75574e-06
11,62.4675,1.07591,3.15086,2.99977,1.25839,0.74413,0.6,0.79253,0.53109,0.71962,0.57902,0.64825,0.4339,1.59868,2.6686,1.4793,1.37688,1.07219e-05,1.07219e-05,1.07219e-05
12,68.4887,0.96319,2.45285,2.06072,1.23317,0.75175,0.6,0.78241,0.54432,0.73105,0.58333,0.65061,0.44254,1.60669,2.66783,1.47798,1.37703,1.16645e-05,1.16645e-05,1.16645e-05
13,74.7477,1.03486,2.51383,2.19688,1.29976,0.7437,0.6,0.782,0.54276,0.73924,0.59643,0.69385,0.44263,1.59781,2.65326,1.48548,1.37515,1.25835e-05,1.25835e-05,1.25835e-05
14,83.8117,0.97686,2.903,2.48966,1.27032,0.769,0.6,0.78589,0.54473,0.75816,0.59241,0.69643,0.44777,1.58537,2.64793,1.49782,1.37008,1.3479e-05,1.3479e-05,1.3479e-05
15,93.2122,0.78655,2.55408,1.74865,1.20162,0.75556,0.6,0.782,0.52023,0.74452,0.59117,0.69429,0.43394,1.58195,2.64396,1.50999,1.37241,1.43509e-05,1.43509e-05,1.43509e-05
16,98.4415,0.80046,2.67333,2.09021,1.24161,0.78358,0.6,0.81174,0.49258,0.7723,0.59211,0.72321,0.44,1.57944,2.63952,1.50412,1.373,1.51993e-05,1.51993e-05,1.51993e-05
17,103.301,0.86082,2.41568,1.8193,1.23464,0.7757,0.6,0.80616,0.49213,0.77008,0.59607,0.72219,0.44226,1.58402,2.62984,1.51264,1.37394,1.60241e-05,1.60241e-05,1.60241e-05
18,108.749,1.06933,2.73456,2.51354,1.30775,0.7757,0.6,0.80616,0.49213,0.77008,0.59607,0.72219,0.44226,1.58402,2.62984,1.51264,1.37394,1.68253e-05,1.68253e-05,1.68253e-05
19,114.698,0.89018,2.5287,1.70952,1.11636,0.79724,0.6,0.78398,0.4857,0.77977,0.58777,0.72176,0.4428,1.58609,2.63166,1.52653,1.37051,1.7603e-05,1.7603e-05,1.7603e-05
20,121.002,0.81811,1.70989,1.25847,1.13815,0.79724,0.6,0.78398,0.4857,0.77977,0.58777,0.72176,0.4428,1.58609,2.63166,1.52653,1.37051,1.83571e-05,1.83571e-05,1.83571e-05
21,126.93,0.88106,2.8135,2.53462,1.29469,0.77216,0.6,0.77905,0.48431,0.76092,0.59101,0.7191,0.45083,1.60454,2.64162,1.55059,1.37742,1.90876e-05,1.90876e-05,1.90876e-05
22,132.21,0.63795,1.89712,1.50531,1.18087,0.77216,0.6,0.77905,0.48431,0.76092,0.59101,0.7191,0.45083,1.60454,2.64162,1.55059,1.37742,1.97946e-05,1.97946e-05,1.97946e-05
23,137.623,0.96955,2.73582,1.82364,1.27086,0.77304,0.6,0.78028,0.47071,0.71602,0.51018,0.65261,0.43498,1.59784,2.64039,1.57879,1.37638,2.0478e-05,2.0478e-05,2.0478e-05
24,142.603,0.91802,2.40397,1.60756,1.19953,0.77304,0.6,0.78028,0.47071,0.71602,0.51018,0.65261,0.43498,1.59784,2.64039,1.57879,1.37638,2.11379e-05,2.11379e-05,2.11379e-05
25,148.052,0.76265,2.186,1.8084,1.08588,0.73428,0.6,0.782,0.47598,0.68899,0.51667,0.65457,0.44779,1.61041,2.64278,1.60442,1.37868,2.17741e-05,2.17741e-05,2.17741e-05
26,153.461,0.70662,2.36137,1.64914,1.15005,0.73428,0.6,0.782,0.47598,0.68899,0.51667,0.65457,0.44779,1.61041,2.64278,1.60442,1.37868,2.23869e-05,2.23869e-05,2.23869e-05
27,160.516,0.77222,2.12234,1.18719,1.11842,0.66312,0.61667,0.6977,0.45476,0.65076,0.6,0.60937,0.4304,1.59888,2.6514,1.63582,1.37128,2.2976e-05,2.2976e-05,2.2976e-05
28,167.337,0.84835,2.2982,1.60226,1.11884,0.66312,0.61667,0.6977,0.45476,0.65076,0.6,0.60937,0.4304,1.59888,2.6514,1.63582,1.37128,2.35417e-05,2.35417e-05,2.35417e-05
29,172.749,1.07857,2.16933,1.72287,1.26941,0.69687,0.61667,0.70081,0.4566,0.68035,0.6,0.61231,0.43096,1.58714,2.6681,1.66656,1.36461,2.40837e-05,2.40837e-05,2.40837e-05
30,178.002,0.79623,2.20625,1.24858,1.0928,0.69687,0.61667,0.70081,0.4566,0.68035,0.6,0.61231,0.43096,1.58714,2.6681,1.66656,1.36461,2.46022e-05,2.46022e-05,2.46022e-05
31,183.763,0.66665,2.08924,1.24437,1.08263,0.9127,0.39192,0.69472,0.44957,0.85507,0.38962,0.63323,0.451,1.56625,2.66788,1.73069,1.35388,2.50971e-05,2.50971e-05,2.50971e-05
32,189.365,0.93254,2.3302,1.26584,1.13341,0.9127,0.39192,0.69472,0.44957,0.85507,0.38962,0.63323,0.451,1.56625,2.66788,1.73069,1.35388,2.55685e-05,2.55685e-05,2.55685e-05
33,195.361,0.76633,2.23841,1.4791,1.16291,0.91197,0.38232,0.64671,0.42114,0.81431,0.38819,0.58369,0.41907,1.57927,2.6674,1.78688,1.36023,2.60163e-05,2.60163e-05,2.60163e-05
34,201.012,0.88609,2.57496,1.27961,1.25587,0.91197,0.38232,0.64671,0.42114,0.81431,0.38819,0.58369,0.41907,1.57927,2.6674,1.78688,1.36023,2.64405e-05,2.64405e-05,2.64405e-05
35,206.738,0.8601,1.92922,1.46421,1.1658,0.91446,0.38092,0.63295,0.41158,0.81199,0.38725,0.56993,0.40586,1.5825,2.67277,1.82512,1.36118,2.68412e-05,2.68412e-05,2.68412e-05
36,211.844,0.69832,1.91567,1.15099,1.07679,0.91446,0.38092,0.63295,0.41158,0.81199,0.38725,0.56993,0.40586,1.5825,2.67277,1.82512,1.36118,2.72183e-05,2.72183e-05,2.72183e-05
37,217.506,0.80124,2.24448,1.26451,1.18102,0.91603,0.37929,0.54903,0.33679,0.80762,0.39017,0.48406,0.32873,1.59931,2.68487,1.85966,1.3681,2.75718e-05,2.75718e-05,2.75718e-05
38,222.815,0.84017,2.08993,1.37382,1.16437,0.91603,0.37929,0.54903,0.33679,0.80762,0.39017,0.48406,0.32873,1.59931,2.68487,1.85966,1.3681,2.79018e-05,2.79018e-05,2.79018e-05
39,228.417,0.87534,2.33788,1.84239,1.20961,0.92013,0.37932,0.5187,0.31044,0.81773,0.38819,0.45213,0.30075,1.60342,2.69104,1.88345,1.36837,2.82082e-05,2.82082e-05,2.82082e-05
40,233.426,0.96365,2.37649,1.45817,1.39858,0.92013,0.37932,0.5187,0.31044,0.81773,0.38819,0.45213,0.30075,1.60342,2.69104,1.88345,1.36837,2.84911e-05,2.84911e-05,2.84911e-05
